2002,Ticker,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
49.8,NXT.L,70.53,69.86,73.52,70.89,73.69,69.43,64.66,63.61,42.22,52.44,61.68,66.09,66.65,79.7,76.49,55.16,57.15,44.37,52.86,46.63
0.0,INF.L,67.08,71.61,65.2,61.26,52.64,51.16,51.63,54.82,49.88,51.17,46.97,38.22,46.51,29.73,32.75,46.34,40.05,38.5,29.26,0.0
0.0,BT-A.L,65.76,73.78,72.01,70.26,68.37,72.82,68.56,71.87,71.04,73.83,76.1,76.34,69.17,62.59,75.39,80.02,74.47,73.47,0.0,0.0
0.0,BNZL.L,47.97,48.92,46.55,39.86,37.02,40.77,33.71,44.75,52.77,52.3,44.56,58.38,50.35,49.11,61.76,57.3,42.48,40.18,0.0,0.0
0.0,SKG.L,81.51,83.73,83.46,80.89,76.94,77.05,80.07,83.27,81.11,81.78,79.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,CCH.L,87.59,89.25,90.81,90.04,89.64,89.34,88.19,93.51,82.94,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,HLMA.L,61.48,60.0,61.23,56.05,53.37,51.0,57.92,46.29,44.91,49.94,53.49,31.44,34.62,33.09,30.82,38.86,16.53,12.11,11.82,0.0
0.0,MRO.L,66.74,63.98,66.76,61.09,60.09,58.33,45.31,37.53,31.3,35.05,30.73,10.9,6.95,13.3,15.13,11.32,4.43,5.86,0.0,0.0
0.0,IAG.L,72.45,70.17,73.5,71.74,74.57,74.4,69.03,71.87,63.81,57.02,60.07,60.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.9,SN.L,78.46,78.22,80.27,81.53,81.49,72.56,72.12,66.29,56.37,57.98,56.81,62.14,61.17,65.31,61.44,65.73,43.99,42.49,45.12,37.3
0.0,ADM.L,56.1,60.15,57.62,56.63,59.33,61.08,57.02,54.43,39.18,41.5,44.44,47.3,41.15,52.06,48.79,44.66,44.2,23.05,40.5,0.0
0.0,PSH.L,36.03,33.74,33.36,39.82,26.2,16.86,25.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.96,ITRK.L,78.59,76.89,78.95,80.44,71.86,68.71,58.88,71.26,65.92,60.38,64.17,56.27,52.09,32.12,38.6,37.33,35.11,21.26,23.17,40.56
0.0,WPP.L,72.59,75.68,77.2,76.68,72.2,70.84,67.27,59.15,55.05,58.26,53.88,61.54,64.46,68.16,73.81,70.7,53.71,67.15,0.0,0.0
45.96,SVT.L,71.21,73.33,70.37,58.23,53.34,58.89,59.19,53.75,55.29,61.86,53.83,57.57,57.44,62.81,49.13,46.85,45.51,44.08,53.77,53.98
0.0,SPX.L,54.21,52.04,53.75,45.61,45.85,38.63,37.57,42.76,30.97,30.8,26.74,28.26,37.12,34.88,38.36,44.1,31.02,29.31,14.54,0.0
49.23,UU.L,68.08,72.6,72.36,72.81,71.63,76.8,65.99,68.69,72.36,68.69,67.46,56.05,62.96,67.34,50.96,50.91,59.6,60.63,58.26,55.09
62.21,PSON.L,87.57,81.09,85.34,80.28,83.4,81.6,82.06,72.62,70.44,70.24,67.54,75.11,57.4,59.41,50.42,54.21,68.96,60.81,58.64,67.53
0.0,JD.L,41.36,43.93,39.17,33.2,36.46,30.44,28.98,29.28,23.33,25.59,32.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.59,CNA.L,68.54,66.85,64.96,59.31,59.97,60.59,62.06,66.45,60.55,68.66,63.82,69.15,69.08,75.72,72.42,60.64,71.6,65.26,54.42,45.42
0.0,CRDA.L,80.81,85.74,80.4,82.56,72.06,73.87,69.77,70.38,71.18,64.49,61.34,72.36,63.97,57.33,46.98,42.28,35.76,35.57,32.09,0.0
41.59,SBRY.L,0.0,79.49,55.51,55.84,57.82,52.34,65.62,64.99,74.95,72.5,73.19,66.45,69.85,69.6,66.78,66.76,51.44,51.63,47.52,42.33
0.0,AUTOA.L,62.12,58.31,50.38,43.37,37.99,43.52,25.54,15.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.36,WTB.L,75.36,79.28,78.08,79.23,81.77,84.49,82.84,77.32,72.0,71.27,70.66,68.35,68.02,61.94,52.63,66.96,62.24,63.23,58.49,50.53
0.0,MNDI.L,81.34,85.77,88.9,88.13,91.96,89.23,86.16,85.01,86.64,82.48,81.03,68.75,74.39,61.92,57.74,39.98,0.0,0.0,0.0,0.0
0.0,CTEC.L,71.52,71.58,74.22,67.39,70.67,68.1,51.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.06,SDR.L,63.34,66.3,75.41,67.2,55.29,51.29,41.59,44.72,41.77,38.8,45.55,52.0,47.17,63.16,49.73,44.94,40.54,25.4,34.06,11.99
0.0,ICP.L,60.63,58.01,38.89,33.18,35.14,41.45,41.67,29.2,25.87,15.38,15.85,10.7,10.19,23.26,17.8,11.34,13.18,15.54,12.69,0.0
40.56,SMIN.L,55.66,54.75,60.32,52.66,52.35,63.56,55.08,49.62,47.68,49.43,48.01,47.99,55.98,43.07,38.11,30.73,33.46,31.42,49.11,31.38
0.0,DCC.L,51.95,51.22,43.73,46.66,52.25,49.93,54.02,51.8,51.34,38.79,39.92,35.22,32.31,20.86,23.57,25.66,17.85,22.99,0.0,0.0
0.0,PHNX.L,76.83,78.2,62.29,59.96,49.32,59.26,51.99,50.45,44.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,SMDS.L,9.07,80.24,81.17,75.1,74.02,70.98,64.1,44.79,43.17,40.18,35.72,39.74,40.74,46.38,35.19,35.19,36.52,19.37,25.28,0.0
0.0,BME.L,51.25,27.84,38.27,48.47,43.96,46.1,45.74,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.09,MKS.L,69.91,82.1,85.52,78.93,81.06,82.19,88.57,88.79,75.32,74.43,82.85,74.03,76.49,86.61,74.68,78.47,49.71,62.48,40.53,29.34
0.0,WEIR.L,76.09,74.86,77.13,80.42,77.69,76.07,72.17,65.01,62.53,53.34,50.78,48.75,52.07,42.18,50.14,34.95,27.12,25.03,18.21,0.0
0.0,MNG.L,72.7,64.78,76.93,64.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,FCIT.L,27.88,32.31,32.61,34.56,25.9,29.11,26.06,23.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.78,BKG.L,60.11,63.0,60.96,58.86,57.83,53.11,50.3,48.08,49.6,58.73,56.02,55.75,57.7,48.85,41.37,40.78,27.7,17.9,21.93,20.55
0.0,DPLM.L,38.11,35.04,32.63,34.13,24.49,24.67,18.53,21.58,17.19,21.86,12.71,16.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,ENT.L,80.92,83.18,78.76,68.57,61.88,52.74,40.4,5.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,HWDN.L,44.0,40.13,51.68,52.04,45.04,49.36,38.52,38.79,26.49,23.71,25.16,30.37,23.44,23.14,18.67,15.56,14.69,35.67,0.0,0.0
0.0,IMI.L,0.0,75.53,68.89,66.73,61.51,59.81,58.83,60.72,54.7,57.9,63.45,60.0,70.06,68.45,66.13,47.6,27.73,27.94,0.0,0.0
0.0,LAND.L,78.89,85.89,82.64,81.61,79.53,82.14,90.18,91.14,73.33,69.12,66.11,68.33,61.02,65.65,57.31,54.36,64.2,70.07,0.0,0.0
60.56,TW.L,75.54,75.52,71.97,76.39,77.61,67.3,60.38,59.47,53.02,60.94,64.97,66.15,47.55,55.17,52.11,44.47,37.1,28.18,57.64,55.86
40.26,KGF.L,64.49,70.23,76.21,73.86,80.69,83.67,83.26,84.38,77.45,76.97,81.3,79.71,74.38,55.87,67.67,64.01,56.99,33.34,29.13,31.58
20.11,BDEV.L,75.77,79.96,66.57,64.42,62.62,60.89,55.52,50.03,51.46,40.23,41.53,47.27,45.47,50.79,47.45,41.52,21.95,33.39,29.03,14.28
0.0,BEZ.L,65.89,61.21,52.95,51.42,42.89,39.67,33.68,27.9,14.92,15.79,16.08,16.89,18.08,20.07,16.7,31.03,16.39,14.7,14.2,0.0
0.0,RMV.L,66.68,65.89,66.65,51.09,53.06,47.7,43.19,48.53,28.65,35.25,32.4,29.81,37.8,15.56,22.79,22.03,27.57,0.0,0.0,0.0
0.0,BRBY.L,79.35,76.32,70.8,59.19,57.9,49.07,47.06,45.36,58.49,55.16,47.75,54.23,54.13,48.19,51.67,40.28,21.37,46.58,0.0,0.0
0.0,EZJ.L,54.74,53.5,50.76,50.96,46.07,46.33,51.91,50.81,54.07,45.58,43.92,49.31,40.33,40.24,21.73,30.47,14.25,25.74,29.99,0.0
0.0,HIK.L,72.43,73.86,72.49,68.31,61.53,64.04,61.24,60.22,56.51,65.01,65.54,54.77,57.34,26.51,25.92,15.93,16.03,15.91,0.0,0.0
0.0,UTG.L,58.52,63.52,57.58,65.18,65.05,76.38,67.6,65.5,54.36,41.59,42.86,46.45,37.06,33.17,35.04,22.48,28.92,27.12,26.35,0.0
23.84,PSN.L,64.71,64.84,66.72,66.93,56.93,55.14,65.2,62.05,42.54,34.16,38.33,42.12,42.27,46.65,57.35,54.63,40.33,18.97,16.59,19.1
0.0,AAF.L,52.11,52.87,44.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,FRES.L,60.17,61.61,60.78,57.47,58.24,60.68,83.66,71.03,65.33,66.96,68.27,62.5,65.96,53.71,54.27,0.0,0.0,0.0,0.0,0.0
0.0,OCDO.L,67.82,51.06,51.11,46.33,44.97,56.23,52.17,54.82,48.67,51.99,46.96,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,FRAS.L,49.61,51.31,33.99,32.74,29.64,37.53,37.7,25.61,37.64,38.52,41.77,29.08,23.64,28.49,34.82,17.04,0.0,0.0,0.0,0.0
0.0,RS1.L,70.28,68.79,64.81,60.34,59.68,58.14,55.94,56.21,48.7,55.24,42.41,38.37,34.79,46.08,31.86,27.64,24.98,26.5,0.0,0.0
0.0,STJ.L,59.74,59.9,67.69,57.43,58.22,51.34,49.44,50.77,46.04,51.54,47.91,49.48,31.33,41.99,53.49,49.25,33.51,32.92,25.3,0.0
